chin	9	n v
china	9	n
chinese	9	
christ	9	n
christian	9	j
church	9	n v
circle	9	n v
circular	9	j n
circumstances	9	n ns
city	9	n
civil	9	j
claim	9	n v vt
class	9	n
classical	9	j
classifications	9	ns
classified	9	j
clay	9	n
clear	9	a j n v
clergy	9	n
clock	9	n v vi
close	9	a j v vt
closely	9	a
cloth	9	n
clothes	9	vs
club	9	n v
clusters	9	vs
co	9	
coal	9	n v
coarse	9	j
coast	9	n v
coastal	9	j
coat	9	n v
cock	9	n v
cog	9	n v vt
coin	9	n v
col	9	n
cold	9	j n
collection	9	n
collectively	9	
college	9	n
colonies	9	
color	9	j n v
colorado	9	
colored	9	j
colorless	9	j
colors	9	n ns vs
colour	9	n
coloured	9	
colours	9	
column	9	n
comb	9	n v
combination	9	n
combining	9	n
come	9	v vi
comes	9	vs
coming	9	
command	9	n v vt
common	9	j
commonly	9	
company	9	n v
complete	9	j v
completely	9	a
components	9	ns
composed	9	j
composer	9	n
composition	9	n
compound	9	j n v vt
compounds	9	ns vs
computer	9	n
computers	9	ns
con	9	a n vt
concentration	9	n
condition	9	n v
conditions	9	n ns vs
conduct	9	v vt
confidence	9	n
confined	9	j
confused	9	j
confusion	9	n
conjunction	9	n
connected	9	j
connecting	9	vg
connection	9	n
considered	9	j
consisting	9	vg
consists	9	vs
constituting	9	
contained	9	j
container	9	n
containing	9	vg
contains	9	vs
contempt	9	n
contest	9	n v vt
contract	9	n v vt
contrary	9	j n
contrivance	9	n
control	9	n v
controlled	9	j
controls	9	ns vs
convert	9	n v vt
converted	9	
cooked	9	j
cooking	9	n vg
copper	9	n v
copy	9	n v
cor	9	n
cord	9	n v
corn	9	n v
corresponding	9	j vg
cotton	9	n v
council	9	n
counting	9	vg
countries	9	
country	9	n
courage	9	n
course	9	n v
court	9	n v
cover	9	n v vt
covered	9	j
covering	9	n vg
covers	9	ns vs
cow	9	n vt
crab	9	n v
cream	9	n v
created	9	
creeping	9	vg
cricket	9	n v
crime	9	n
criminal	9	j n
cross	9	j n v
crow	9	n v
crown	9	n v
cry	9	n v vi
crystalline	9	j
crystals	9	ns
cultivated	9	j
cultural	9	j
cup	9	n v
current	9	j n
curve	9	n
curved	9	j
custom	9	n
customers	9	ns
cut	9	j n v vt
cuts	9	ns vs
cutting	9	j n
cylindrical	9	j
d	9	
dan	9	n
dance	9	n v vi
danger	9	n
dark	9	j n
date	9	n v
day	9	n
days	9	n ns
dead	9	j n
deals	9	ns vs
death	9	n
debt	9	n
deck	9	n v vt
deed	9	n
deep	9	a j n
deeply	9	a
deer	9	n
defeated	9	j n
defence	9	n
defense	9	n
degree	9	n
degrees	9	ns
deliberately	9	
den	9	n
department	9	n
deposits	9	ns vs
deprive	9	v vt
derived	9	j
des	9	
described	9	j
description	9	n
design	9	n v vt
designed	9	j
desire	9	n v vt
desired	9	
destitute	9	j
destroy	9	v vi
destroyed	9	j
details	9	n ns vs
developed	9	j
developing	9	j vg
development	9	n
develops	9	vs
device	9	n
devices	9	n ns
devil	9	n v vt
devoted	9	j
dial	9	n v
didnt	9	
die	9	n v vi
died	9	
different	9	j
difficult	9	j
difficulty	9	n
dignity	9	n
dim	9	j v
ding	9	n v vi vt
dip	9	n v vt
direct	9	j v
directed	9	j
direction	9	n
directions	9	ns
dis	9	n
discharge	9	n v vt
discourse	9	n v
discovered	9	
disease	9	n
diseases	9	ns
dish	9	n v
disorders	9	ns vs
disposition	9	n
distance	9	n v
distinct	9	j
distinguished	9	j
distributed	9	j
district	9	n
divide	9	n v vt
divided	9	j
divination	9	n
divine	9	j v
division	9	n
dna	9	
do	9	n v vi vt
doctrine	9	n
documents	9	ns vs
does	9	ns
dog	9	n
doing	9	vg
dom	9	n
domestic	9	j n
don	9	n vt
done	9	j
door	9	n
double	9	a j n v vt
doublet	9	n
doubt	9	n v vi
down	9	a j n v
drag	9	n v vt
draw	9	n v vt
drawing	9	n vg
drawn	9	j
dress	9	j n v vt
dressed	9	j
dried	9	j
drink	9	n v vt
drinking	9	n vg
drive	9	n v vt
